league_rank,date,title,box_office_rank,daily_gross,total_gross,days_in_release,cinema_grade,critic_score,previous_total_gross,daily_growth_pct,cinema_score,rank_multiplier,performance_score,game_score
1,2025-07-20,Superman,1,18858328,236233556,10,A,83,217375228,8.675472441597623,95.0,2.0,5.89083099115825,183.89083099115825
2,2025-07-20,F1: The Movie,3,3145114,153904702,24,A,83,150759588,2.086178426011618,95.0,1.7777777777777777,2.5677527213041977,180.5677527213042
3,2025-07-20,Elio,8,683063,69045557,31,A,84,68362494,0.9991779995621576,95.0,1.2222222222222223,1.2217197853492594,180.22171978534925
4,2025-07-20,How to Train Your Dragon,6,1620150,250784795,38,A,76,249164645,0.6502327005502727,95.0,1.4444444444444444,1.1647567774135577,172.16475677741354
5,2025-07-20,Lilo & Stitch,9,506413,418283149,59,A,72,417776736,0.12121617992630399,95.0,1.1111111111111112,0.38684571194119355,167.3868457119412
6,2025-07-20,28 Years Later,10,377178,68725097,31,B,88,68347919,0.5518500131657265,70.0,1.0,0.7428660802363549,158.74286608023635
7,2025-07-20,Eddington,7,1016826,4255607,3,B,68,3238781,31.395330527133513,70.0,1.3333333333333333,7.4708714978325155,145.47087149783252
8,2025-07-20,Jurassic World: Rebirth,2,7515280,276485990,19,B+,51,268970710,2.794088620281368,80.0,1.8888888888888888,3.1573774303674904,134.1573774303675
9,2025-07-20,Smurfs,4,3121911,11075090,3,B,20,7953179,39.253624242582745,70.0,1.6666666666666665,10.442118804068713,100.44211880406871
10,2025-07-20,I Know What You Did Last Summer,5,3027487,12755359,3,C+,34,9727872,31.12178079645785,50.0,1.5555555555555556,8.677962038238464,92.67796203823846
