date,title,box_office_rank,daily_gross,total_gross,days_in_release,cinema_grade,critic_score
2025-07-20,Superman,1,18858328,236233556,10,A,83
2025-07-20,Jurassic World: Rebirth,2,7515280,276485990,19,B+,51
2025-07-20,F1: The Movie,3,3145114,153904702,24,A,83
2025-07-20,Smurfs,4,3121911,11075090,3,B,20
2025-07-20,I Know What You Did Last Summer,5,3027487,12755359,3,C+,34
2025-07-20,How to Train Your Dragon,6,1620150,250784795,38,A,76
2025-07-20,Eddington,7,1016826,4255607,3,B,68
2025-07-20,Elio,8,683063,69045557,31,A,84
2025-07-20,Lilo & Stitch,9,506413,418283149,59,A,72
2025-07-20,28 Years Later,10,377178,68725097,31,B,88

